# Seamount Catalog from Wessel, P., J. Geophys. Res., 106 (B9), 19,431-19,441, 2001"
#
# This file contains ~15,000 seamounts from all the world's ocean basins.
# The columns are:
# Col 1: Longitude (0/360). Center of each seamount (in degrees)
# Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
# Col 3: Maximum amplitude of the Free Air Gravity Anomaly (in mGal)
# Col 4: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
# Col 5: Modelled zero-crossing radius (where VGG first goes -ve) (in km)
# Col 6: Modelled seamount radius (in km)
# Col 7: Modelled seamount height (in m)
# Col 8: Age of underlying seafloor [from Mueller et al grid] (in Myr)
# For explanation of modeling see the JGR paper and references therein.
#
# The file is a GMT multi-segment file where each segment contains the seamount
# belonging to one tectonic plate, sorted from largest to smallest VGG.  Some plates
# (e.g., the Phillipine Sea Plate) have no seamounts detectable by the
# characterization method used.  When plotting this file with GMT, remember
# to use the -M flag.
# 
# Longitude	Latitude	FAA	VGG	Rcross	Radius	Height	CrustAge
> Africa plate    1844 seamounts
  2.55000	-32.85000	135.2	141.8	15.86	 15.95	7100	 86.7
  0.71667	 -8.48333	116.2	141.5	16.44	 15.23	7100	 77.8
 10.35000	-47.65000	159.0	141.0	17.18	 25.83	3400	 84.4
  4.65000	 -5.21667	110.7	140.5	16.23	 15.31	6500	100.8
352.21700	-39.48330	145.9	140.5	19.23	 29.79	3000	 38.8
 62.15830	-19.64170	138.4	140.2	27.88	 36.58	3200	 19.2
 59.88330	-18.88330	147.2	140.1	19.62	 29.79	3000	 38.0
 56.23330	 -6.33333	155.2	140.1	35.55	 44.58	3900	  0.0
346.65000	 30.45000	111.9	139.7	17.01	 22.07	3200	166.9
  0.51667	-34.95000	132.8	139.7	17.20	 24.31	3200	 77.9
 57.25000	-20.41670	201.9	139.5	30.24	 44.58	3900	 57.4
335.19200	 16.84170	207.3	139.5	27.01	 42.29	3700	119.9
  8.78333	-47.95000	154.5	139.3	21.85	 34.29	3000	 90.4
341.68300	  8.98333	126.5	139.2	20.57	 30.86	2700	107.7
336.85000	 14.98330	136.0	139.0	26.72	 35.43	3100	135.3
 19.05000	-36.45000	124.1	138.9	16.02	 15.50	6900	  0.0
353.01700	-35.08330	125.4	138.2	15.85	 15.50	6900	 41.5
 51.25000	 -9.78333	138.3	138.1	26.48	 35.43	3100	 66.5
357.28300	-43.35000	150.5	138.1	20.03	 31.56	2900	 55.1
343.15000	 28.38330	262.8	138.0	31.35	 50.29	4400	161.2
  0.58333	 -5.48333	112.9	137.9	19.67	 28.30	2600	 79.4
 45.11670	-12.75000	274.0	137.7	31.47	 51.44	4500	151.2
329.73300	 34.16670	147.1	137.7	20.42	 31.56	2900	 40.9
 56.53330	  1.13333	125.0	137.6	22.75	 32.00	2800	 54.9
 49.95000	-11.05000	113.4	137.3	19.45	 28.04	2700	121.8
 54.08330	-19.75000	141.4	137.2	22.15	 33.15	2900	 65.2
  1.88333	-41.73330	176.2	136.9	27.02	 40.01	3500	 75.3
 23.41670	-36.35000	154.4	136.7	20.36	 33.15	2900	  0.0
355.25000	-11.15000	103.8	136.6	16.90	 20.84	3300	 55.6
346.70000	 29.52500	175.4	136.6	28.14	 40.01	3500	174.8
  8.01667	-49.01670	182.4	136.5	26.47	 40.01	3500	 95.3
354.18300	-35.55000	124.3	136.2	15.88	 15.45	6800	 45.9
 53.81670	 -9.28333	 95.2	135.8	17.19	 21.35	3000	 63.4
337.01700	 16.81670	209.4	135.6	24.87	 41.15	3600	137.2
 46.21670	 -9.45000	159.9	135.5	24.97	 36.58	3200	149.6
  6.75000	  0.28333	184.7	134.9	28.17	 41.15	3600	107.1
 61.38330	-19.38330	137.7	134.9	26.83	 35.43	3100	 33.6
  6.35000	-26.18330	169.6	134.7	24.45	 36.58	3200	 96.6
 44.95000	-12.51670	177.5	134.7	30.79	 42.29	3700	149.6
  0.28333	 -6.35000	134.7	134.4	24.10	 33.15	2900	 77.4
345.25000	 28.31670	166.7	133.9	27.58	 38.86	3400	173.9
 53.01670	 -9.21667	 92.8	133.7	16.21	 17.33	4000	 64.1
342.23300	 28.83330	213.4	133.7	35.51	 50.29	4400	152.9
352.28300	-36.41670	135.3	133.6	22.68	 33.15	2900	 37.6
351.68300	-15.15000	106.7	133.4	15.73	 15.84	5300	 28.7
331.30000	 31.20000	185.7	133.3	24.32	 37.72	3300	 78.7
341.81700	 27.78330	174.1	133.2	25.20	 37.72	3300	153.0
354.35000	-40.78330	134.7	132.7	17.92	 26.48	2900	 45.2
338.18300	  7.91667	106.7	132.7	18.73	 27.00	2600	 86.3
 51.81670	 -9.31667	 97.0	132.5	16.92	 21.35	3000	 64.9
 18.15000	-36.71670	111.5	132.3	14.72	 16.66	4700	129.7
 55.65000	 -0.18333	 97.8	132.2	15.44	 16.12	4700	 58.2
351.38300	-40.08330	127.2	132.2	14.25	 16.10	5700	 34.8
354.31700	-40.48330	143.8	131.7	17.79	 27.39	3000	 45.6
352.18300	-42.68330	131.0	131.7	15.21	 15.45	6800	 33.1
  0.01667	 -7.65000	110.5	131.4	19.29	 28.58	2500	 75.7
